ajenar	ajeno
desbridar	desbrido
recalificar	recalifico
cantar	canto
responsabilizar	responsabilizo
refrigerar	refrigero
vetar	veto
tontear	tonteo
regoldar	regüeldo
profetizar	profetizo
preludiar	preludio
glasear	glaseo
desabastecer	desabastezco
recolocar	recoloco
yacer	yazco
consolidar	consolido
conculcar	conculco
carpintear	carpinteo
mimar	mimo
aparar	aparo
precaucionar	precauciono
sobrenadar	sobrenado
empuñar	empuño
originar	origino
encapuchar	encapucho
refundamentar	refundamento
digitalizar	digitalizo
legislar	legislo
enarcar	enarco
psicoanalizar	psicoanalizo
enrolar	enrolo
desocupar	desocupo
ensombrecer	ensombrezco
resorber	resorbo
abancalar	abancalo
aplacer	aplazco
descentralizar	descentralizo
prejuzgar	prejuzgo
enjuncar	enjunco
obsesionar	obsesiono
intercambiar	intercambio
empaquetar	empaqueto
transfundir	transfundo
buitrear	buitreo
convertir	convierto
obliterar	oblitero
relanzar	relanzo
sorber	sorbo
engolosinar	engolosino
clasificar	clasifico
sobreimpresionar	sobreimpresiono
rechinar	rechino
redibujar	redibujo
enfardar	enfardo
ulcerar	ulcero
acotar	acoto
retitular	retitulo
cloquear	cloqueo
malear	maleo
entreverar	entrevero
congregar	congrego
estirazar	estirazo
perjurar	perjuro
retroalimentar	retroalimento
pandear	pandeo
tallar	tallo
intercalar	intercalo
calumniar	calumnio
improvisar	improviso
aprehender	aprehendo
astreñir	astriño
soslayar	soslayo
cagar	cago
embolsillar	embolsillo
agitanar	agitano
emborrachar	emborracho
rajuñar	rajuño
relinchar	relincho
reivindicar	reivindico
indignar	indigno
remeter	remeto
blandir	blando
ratificar	ratifico
problematizar	problematizo
enlodar	enlodo
halar	halo
balear	baleo
resellar	resello
acalmar	acalmo
rebotar	reboto
desertar	deserto
abocar	aboco
garrar	garro
restar	resto
elevar	elevo
topar	topo
despeinar	despeino
microanalizar	microanalizo
deslocalizar	deslocalizo
apalabrar	apalabro
dimitir	dimito
patentizar	patentizo
abroncar	abronco
humidificar	humidifico
engordar	engordo
auxiliar	auxilio
jalar	jalo
mentar	miento
tragar	trago
enfrescar	enfresco
zurcir	zurzo
insinuar	insinúo
comprobar	compruebo
contratar	contrato
rogar	ruego
transportar	transporto
recorrer	recorro
rollar	rollo
endilgar	endilgo
diputar	diputo
burlar	burlo
remodelar	remodelo
